cell_type,count_absolute_error,dice,fn,fp,image_id,instance_fn,instance_fp,instance_tp,iou,matching_score_50,matching_score_50_95,predicted_count,split,tp,true_count,well
A172,23,0.5122923150389435,117776,696,246506,160,183,4,0.3443501167720013,0.011527377521613832,0.0028686607975973227,187,test,62222,164,C7
A172,73,0.41875751559541147,161514,3313,247128,209,282,4,0.26482814604686844,0.00808080808080808,0.002617738794866661,286,test,59375,213,C7
A172,56,0.6336325266785853,38213,1543,247343,57,113,13,0.46373507789842855,0.07103825136612021,0.0272011807893494,126,test,34379,70,C7
A172,32,0.6290227249566901,35478,926,247561,62,94,20,0.4588133854638976,0.11363636363636363,0.04456335587338292,114,test,30863,82,C7
A172,58,0.4796394332995135,148274,7127,247645,296,238,3,0.31547742279348606,0.00558659217877095,0.002045648065460738,241,test,71620,299,C7
A172,101,0.5379880940369287,27421,53,248158,146,45,15,0.36797791580400274,0.07281553398058252,0.02566054269601985,60,test,15996,161,C7
A172,104,0.40559740927664334,103698,1475,249162,94,198,7,0.2543883280399274,0.023411371237458192,0.008974763749853506,205,test,35883,101,C7
A172,60,0.30541156221524757,270753,3665,249265,395,455,2,0.1802275734953652,0.002347417840375587,0.001290942214443362,457,test,60331,397,C7
A172,114,0.3137619765296661,210218,5153,249664,224,338,2,0.18607217496135778,0.0035460992907801418,0.0008855833804054478,340,test,49236,226,C7
A172,70,0.39366409031785016,240723,743,250018,337,407,3,0.245069594687543,0.004016064257028112,0.00133689982938544,410,test,78386,340,C7
A172,83,0.4068806277415197,92803,1984,250360,106,189,10,0.25539870698120176,0.03278688524590164,0.015979983260982617,199,test,32512,116,C7
A172,76,0.4039239998541264,211906,579,251601,271,347,5,0.25307316181510764,0.008025682182985553,0.0024025723103894138,352,test,71994,276,C7
A172,85,0.4250236037286067,107886,2341,251879,102,187,1,0.2698603005954944,0.0034482758620689655,0.0017241379310344827,188,test,40740,103,C7
A172,8,0.3121060049692751,294007,294,252356,383,375,1,0.18490853447440211,0.0013175230566534915,0.0003952569169960474,376,test,66764,384,C7
A172,52,0.4986381835753643,79553,337,252742,84,136,8,0.3321239278369476,0.03508771929824561,0.008289678419811009,144,test,39728,92,C7
A172,51,0.4159599878168032,143728,2004,253652,172,223,6,0.2625943692189366,0.014962593516209476,0.0024826973495531987,229,test,51896,178,C7
A172,50,0.36195730575037216,161803,4499,253832,216,266,4,0.22096939659816464,0.00823045267489712,0.0016418792880737074,270,test,47171,220,C7
A172,36,0.4015522984088279,270447,499,254054,365,401,1,0.2512139108518241,0.001303780964797914,0.0001303780964797914,402,test,90901,366,C7
A172,99,0.44277424610139315,130738,1972,254422,159,258,7,0.28433529627472554,0.01650943396226415,0.00446240128728337,265,test,52726,166,C7
A172,23,0.646784119843345,29758,1177,254590,59,82,23,0.47796078166661043,0.1402439024390244,0.048558887748395216,105,test,28323,82,C7
A172,89,0.43258032766813126,116122,4369,255101,129,218,5,0.2759824540319673,0.014204545454545454,0.004238965305309811,223,test,45929,134,C7
A172,57,0.42342942122464505,133110,260,255326,130,187,3,0.26857625464097884,0.009375,0.0031133479905574584,190,test,48973,133,C7
A172,103,0.4483664810597116,142354,2484,255461,159,262,4,0.28896416298478156,0.009411764705882352,0.0021115894802842235,266,test,58862,163,C7
A172,71,0.4353184210059014,95196,203,256900,75,146,6,0.2782153422460298,0.02643171806167401,0.010080509243121597,152,test,36772,81,C7
A172,30,0.31849433816463407,271240,3922,257198,426,456,1,0.18941020859661992,0.0011325028312570782,0.00022650056625141563,457,test,64297,427,C7
A172,20,0.6510409290468772,24227,413,258188,74,54,30,0.4826246719160105,0.189873417721519,0.07189126733306614,84,test,22985,104,C7
A172,91,0.3928539876061742,191584,840,258811,205,296,3,0.2444420012721947,0.005952380952380952,0.0019825553983969825,299,test,62254,208,C7
A172,10,0.41665436514695586,148273,5844,259294,228,238,4,0.2631480808583067,0.00851063829787234,0.001486209133832814,242,test,55039,232,C7
A172,8,0.5590351282737588,105501,3233,260493,177,185,9,0.3879588873003186,0.02425876010781671,0.005086959100236637,194,test,68924,186,C7
A172,33,0.3343228230548394,241424,4129,260681,323,356,2,0.20071285581758702,0.002936857562408223,0.000440313322223227,358,test,61662,325,C7
A172,59,0.34770362515739944,275235,355,261008,342,401,2,0.2104365962737902,0.0026845637583892616,0.0005365528905842344,403,test,73451,344,C7
A172,36,0.5344890969951435,93581,2655,262845,139,175,8,0.36471178474294313,0.024844720496894408,0.00864625360621456,183,test,55248,147,C7
A172,13,0.3409158496937927,252566,8952,262994,410,397,5,0.205484362942574,0.006157635467980296,0.0011068629349562415,402,test,67636,415,C7
A172,89,0.43967170577617326,118840,362,263411,129,218,10,0.2817815375160422,0.028011204481792718,0.007193738969577165,228,test,46767,139,C7
A172,63,0.2895845370297312,275571,3542,263973,336,399,2,0.16930654761904762,0.0027137042062415195,0.0006778744856648024,401,test,56887,338,C7
A172,38,0.3380827031017145,185496,4604,265009,267,305,1,0.20342931849418391,0.0017452006980802793,0.0008726003490401396,306,test,48548,268,C7
A172,56,0.47577678994516776,138831,561,265337,177,233,4,0.31214377710994984,0.00966183574879227,0.0019288832946215053,237,test,63255,181,C7
A172,96,0.44597873853988684,165658,1006,265520,192,288,3,0.28698367879526837,0.006211180124223602,0.0016520458474739066,291,test,67081,195,C7
A172,13,0.42680790440549954,160737,7441,266756,295,282,5,0.2713005650109189,0.00859106529209622,0.002915666316477841,287,test,62614,300,C7
A172,104,0.31154556394721555,263174,2272,267058,340,444,2,0.18451523315934834,0.002544529262086514,0.0007633587786259543,446,test,60061,342,C7
A172,25,0.3911108016294211,243563,1275,267726,365,340,3,0.2430936835336598,0.00423728813559322,0.0008466613310904609,343,test,78634,368,C7
A172,49,0.44062346043278416,101489,1834,268096,141,190,5,0.28256386398827915,0.01488095238095238,0.0029604186807466347,195,test,40694,146,C7
