image_path,experiment_day,plate_id,well_id,field,cell_line,treatment,concentration_ug_per_ml,exposure_hours,control_type,replicate,viability_fraction,mts_absorbance,mts_blank_absorbance,micrometers_per_pixel,operator,permission_status,notes
,day-3,plate-day-3,B08,1,RAW264.7,doxorubicin,5.0,0.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,2,RAW264.7,doxorubicin,5.0,0.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,1,RAW264.7,doxorubicin,5.0,6.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,2,RAW264.7,doxorubicin,5.0,6.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,1,RAW264.7,doxorubicin,5.0,12.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,2,RAW264.7,doxorubicin,5.0,12.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,1,RAW264.7,doxorubicin,5.0,24.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,2,RAW264.7,doxorubicin,5.0,24.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,1,RAW264.7,doxorubicin,5.0,48.0,positive,2,,,,,,,
,day-3,plate-day-3,B08,2,RAW264.7,doxorubicin,5.0,48.0,positive,2,,,,,,,
,day-3,plate-day-3,B09,1,RAW264.7,doxorubicin,5.0,0.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,2,RAW264.7,doxorubicin,5.0,0.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,1,RAW264.7,doxorubicin,5.0,6.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,2,RAW264.7,doxorubicin,5.0,6.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,1,RAW264.7,doxorubicin,5.0,12.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,2,RAW264.7,doxorubicin,5.0,12.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,1,RAW264.7,doxorubicin,5.0,24.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,2,RAW264.7,doxorubicin,5.0,24.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,1,RAW264.7,doxorubicin,5.0,48.0,positive,3,,,,,,,
,day-3,plate-day-3,B09,2,RAW264.7,doxorubicin,5.0,48.0,positive,3,,,,,,,
